Campeonato:,Campeonato Brasileiro - Série A/2021,Rodada:,32
Jogo:,Ceará / CE X Sport / PE,,
Data:,14/11/2021 Horário: 19:00 Estádio:,Governador Plácido Aderaldo Castelo / Fortaleza,
"",Arbitragem
Arbitro:,Marcelo de Lima Henrique (MTR / RJ)
Arbitro Assistente 1:,Eduardo Goncalves da Cruz (MTR / MS)
Arbitro Assistente 2:,Márcia Bezerra Lopes Caetano (MTR / RO)
Quarto Arbitro:,Alexandre de Souza Peixoto (CD / CE)
Delegado Local:,Claudemiro Silva Soares (CBF / CE)
Analista de Campo:,Francisco José de Sousa Soares (CBF / CE)
VAR:,Rodrigo Carvalhaes de Miranda (AB / RJ)
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,18:50Atraso:,,Não Houve Entrada do mandante: 20:00,,Atraso:,Não Houve
Entrada do visitante:,18:50Atraso:,,Não Houve Entrada do visitante: 19:58,,Atraso:,Não Houve
Início 1o Tempo:,19:00Atraso:,,Não Houve Início do 2o Tempo: 20:02,,Atraso:,Não Houve
Término do 1o Tempo:,19:47Acréscimo:,,2 min Término do 2o Tempo: 20:51,Acréscimo:,,4 min
Resultado do 1o Tempo: 1 X 0,,,Resultado Final: 2 X 1,,,
"",,,,,Relação de Jogadores,,,,
"",,Ceará / CE,,,,Sport / PE,,,
No,Apelido,Nome Completo T/R,,P/A,CBF No Apelido,Nome Completo,T/R,P/A,CBF
1,João Ricardo,Joao Ricardo Riedi T(g),,P,298660 1 Mailson,Mailson Tenorio dos  ...,T(g),P,460562
2,Igor Inoce ...,Igor Inocencio de Ol ... T,,P,382612 8 Hernanes,Anderson Hernanes de ...,T,P,173861
3,Messias,Messias Rodrigues da ... T,,P,381149 14 Welison,José Welison da Silva,T,P,313780
6,Bruno Pacheco Bruno de Jesus Pacheco,T,,P,333975 15 R. Thyere,Rafael Thyere de Alb ...,T,P,313474
9,Jael,Jael Ferreira Vieira T,,P,178373 35 Sabino,Jose Sabino Chagas M ...,T,P,437531
10,Mendoza,John Steven Mendoza  ... T,,P,522146 56 Sander,Sander Henrique Bort ...,T,P,346046
13,Luiz,Luiz Otavio Anacleto ... T,,P,291651 66 Ewerthon,Ewerthon Diogenes da ...,T,P,500506
19,Fabinho,Fabio Goncalves T,,P,175065 77 Marcos,Marcos Antonio Almei ...,T,P,345210
25,Marlon,Marlon Adriano Prezotti T,,P,294484 94 Paulo,Paulo Roberto Moccelin,T,P,360467
29,Vinicius,Vinicius Goes Barbos ... T,,P,294769 97 Everton Fe ...,Everton Felipe de Ol ...,T,P,381047
45,Lima,Vinicius Moreira de Lima T,,P,403112 99 MIKAEL,Mikael Filipe Viana  ...,T,P,599514
91,Richard,Richard de Oliveira Costa R(g),,P,291617 92 Carlos,Carlos Eduardo Soare ...,R(g),P,309585
5,Willian,Willian Oliveira dos ... R,,P,430883 2 Hayner,Hayner Willian Monja ...,R,P,402405
7,Airton,Airton Moises Santos ... R,,P,460340 5 Ronaldo,Ronaldo Henrique Fer ...,R,P,338491
15,Gabriel La ...,Gabriel Santos Corde ... R,,P,409030 9 Santiago,Santiago Trellez Vivero,R,P,293087
16,Jorginho,Jorge de Moura Xavier R,,P,330015 18 Betinho,Roberto Pimenta Vina ...,R,P,321453
20,Willian,Willian Osmar de Oli ... R,,P,334881 44 Chico,Francisco Alves da S ...,R,P,518992
21,Geovane,Geovane da Silva de Souza R,,P,396317 46 Luciano,Luciano Batista da S ...,R,P,554138
37,Rick,Rick Jhonatan Lima Morais R,,P,538942 49 Cristiano  ...,Cristiano Robert do  ...,R,P,545248
70,Kelvyn,Kelvyn Ramos da Fonseca R,,P,555438 59 Flavio,Flavio Eugenio Rodri ...,R,P,612415
89,CLEBER,Cleber Bomfim de Jesus R,,P,601171 91 Pedro,Pedro Victor Martins ...,R,P,501375
90,Negueba,Gabriel dos Santos F ... R,,P,465944,,,,
94,Gabriel,Gabriel Dias de Oliveira R,,P,317697,,,,
"",,Comissão Técnica,
"",Ceará / CE,,Sport / PE
Técnico:,Tiago Retzlaff Nunes,Técnico:,Gustavo Atilano Florentin Morinigo
Assistente Técnico:,Clesly Evandro Guimaraes,Assistente Técnico:,Jose Luis Nuñez Mendoza
Assistente Técnico:,Evandro Luis Fornari,Assistente Técnico:,Hector Mario Nuñez
Médico:,Pedro Guilme Teixeira De Sousa Filho,Médico:,Renato Oliveira De Albuquerque Lima
Preparador Físico:,Andre Tadeo Gomes Volpe,Treinador De Goleiros:,Jorcey Anisio Garcia Santos
Fisioterapeuta:,Adolfo Bernardo Dantas,Fisioterapeuta:,Marcio Leite De Melo Caldas
"",,,,,Gols,
Tempo,1T/2T,No,Tipo,Nome do Jogador,,Equipe
08:00,1T,29,NR,Vinicius Goes Barbosa de Souza,,Ceará/CE
15:00,2T,99,NR,Mikael Filipe Viana de Sousa,,Sport/PE
35:00,2T,25,NR,Marlon Adriano Prezotti,,Ceará/CE
"",,,,Cartões Amarelos
Tempo,1T/2T,No,Nome do Jogador,Equipe
26:00,1T,92,Carlos Eduardo Soares Mota,Sport/PE
"",,,Motivo: A2.1.  Reclamar / protestar (verbalmente ou por gestos) ostensiva e ofensivamente contra decisão da arbitragem. - Por,
"",,,reclamar das decisões da arbitragem do banco de reservas.,
"Ocorrências / ObservaçõesNada houve de anormalMotivo de atraso no início e/ou reinício, e de acréscimos:Acréscimos devido reposições de bola em jogo, atendimento e retirada de atletas supostamente lesionados e substituições. informo que foi respeitado 01 minutode silêncio em homenagem póstuma às vítimas da covid-19.Observações EventuaisNada houve de anormalRelatório do AssistenteNada a relatar.SubstituiçõesTempo1T/2TEquipeEntrouSaiu45:00INTCeará/CE89 - Cleber Bomfim de Jesus9 - Jael Ferreira Vieira10:002TCeará/CE37 - Rick Jhonatan Lima Morais45 - Vinicius Moreira de Lima20:002TCeará/CE94 - Gabriel Dias de Oliveira2 - Igor Inocencio de Oliveira20:002TCeará/CE5 - Willian Oliveira dos Santos19 - Fabio Goncalves30:002TSport/PE46 - Luciano Batista da Silva Jun...97 - Everton Felipe de Oliveira S...36:002TSport/PE49 - Cristiano Robert do Amaral8 - Anderson Hernanes de Carvalh...36:002TSport/PE9 - Santiago Trellez Vivero94 - Paulo Roberto Moccelin39:002TCeará/CE15 - Gabriel Santos Cordeiro Lace...10 - John Steven Mendoza Valencia"
Ocorrências / Observações
Nada houve de anormal
"Ocorrências / ObservaçõesNada houve de anormalMotivo de atraso no início e/ou reinício, e de acréscimos:Acréscimos devido reposições de bola em jogo, atendimento e retirada de atletas supostamente lesionados e substituições. informo que foi respeitado 01 minutode silêncio em homenagem póstuma às vítimas da covid-19.Observações EventuaisNada houve de anormalRelatório do AssistenteNada a relatar.SubstituiçõesTempo1T/2TEquipeEntrouSaiu45:00INTCeará/CE89 - Cleber Bomfim de Jesus9 - Jael Ferreira Vieira10:002TCeará/CE37 - Rick Jhonatan Lima Morais45 - Vinicius Moreira de Lima20:002TCeará/CE94 - Gabriel Dias de Oliveira2 - Igor Inocencio de Oliveira20:002TCeará/CE5 - Willian Oliveira dos Santos19 - Fabio Goncalves30:002TSport/PE46 - Luciano Batista da Silva Jun...97 - Everton Felipe de Oliveira S...36:002TSport/PE49 - Cristiano Robert do Amaral8 - Anderson Hernanes de Carvalh...36:002TSport/PE9 - Santiago Trellez Vivero94 - Paulo Roberto Moccelin39:002TCeará/CE15 - Gabriel Santos Cordeiro Lace...10 - John Steven Mendoza Valencia"
Observações Eventuais
Nada houve de anormal
"Ocorrências / ObservaçõesNada houve de anormalMotivo de atraso no início e/ou reinício, e de acréscimos:Acréscimos devido reposições de bola em jogo, atendimento e retirada de atletas supostamente lesionados e substituições. informo que foi respeitado 01 minutode silêncio em homenagem póstuma às vítimas da covid-19.Observações EventuaisNada houve de anormalRelatório do AssistenteNada a relatar.SubstituiçõesTempo1T/2TEquipeEntrouSaiu45:00INTCeará/CE89 - Cleber Bomfim de Jesus9 - Jael Ferreira Vieira10:002TCeará/CE37 - Rick Jhonatan Lima Morais45 - Vinicius Moreira de Lima20:002TCeará/CE94 - Gabriel Dias de Oliveira2 - Igor Inocencio de Oliveira20:002TCeará/CE5 - Willian Oliveira dos Santos19 - Fabio Goncalves30:002TSport/PE46 - Luciano Batista da Silva Jun...97 - Everton Felipe de Oliveira S...36:002TSport/PE49 - Cristiano Robert do Amaral8 - Anderson Hernanes de Carvalh...36:002TSport/PE9 - Santiago Trellez Vivero94 - Paulo Roberto Moccelin39:002TCeará/CE15 - Gabriel Santos Cordeiro Lace...10 - John Steven Mendoza Valencia",,,,
Substituições,,,,
Tempo,1T/2T,Equipe,Entrou,Saiu
45:00,INT,Ceará/CE,89 - Cleber Bomfim de Jesus,9 - Jael Ferreira Vieira
10:00,2T,Ceará/CE,37 - Rick Jhonatan Lima Morais,45 - Vinicius Moreira de Lima
20:00,2T,Ceará/CE,94 - Gabriel Dias de Oliveira,2 - Igor Inocencio de Oliveira
20:00,2T,Ceará/CE,5 - Willian Oliveira dos Santos,19 - Fabio Goncalves
30:00,2T,Sport/PE,46 - Luciano Batista da Silva Jun...,97 - Everton Felipe de Oliveira S...
36:00,2T,Sport/PE,49 - Cristiano Robert do Amaral,8 - Anderson Hernanes de Carvalh...
36:00,2T,Sport/PE,9 - Santiago Trellez Vivero,94 - Paulo Roberto Moccelin
39:00,2T,Ceará/CE,15 - Gabriel Santos Cordeiro Lace...,10 - John Steven Mendoza Valencia
